question,expected_output,response_explanation
"I got hiking boots 12 days ago and wore them on two hikes. Can I return them?",NOT_ELIGIBLE,"Explains that worn or used items cannot be returned because returns must be unused, unworn, and in original packaging."
"My rain jacket arrived with a broken zipper yesterday. Can you replace it?",ELIGIBLE,"Explains that damaged items can be replaced or refunded when reported within 7 days, and asks the customer to send photos."
"I received a backpack as a gift and do not have a receipt. Can I get my money back?",ELIGIBLE,"Explains that gift returns without proof of purchase are eligible for store credit only, not a cash or card refund."
"I bought a final-sale tent and one pole arrived cracked. Am I stuck with it?",ELIGIBLE,"Explains that final-sale items normally cannot be returned, but damaged or defective final-sale items are eligible for help with photos."
"The final-sale fleece I bought is too small. Can I exchange it?",NOT_ELIGIBLE,"Explains that final-sale items cannot be returned or exchanged for size or preference issues unless they arrived damaged or defective."
"I want to return a water bottle, but I am not sure when it arrived. Can I send it back?",NEEDS_INFO,"Asks for the delivery date and item condition instead of guessing, because returns depend on the 30-day window and unused condition."
"I bought a sleeping bag 20 days ago. Can I return it?",NEEDS_INFO,"Asks whether the sleeping bag is unused and in original packaging before deciding, because timing alone is not enough."
"I bought a backpack 60 days ago and it is unused. Can I exchange it for a different color?",NOT_ELIGIBLE,"Explains that exchanges are only available within 45 days, so a 60-day-old purchase is outside the exchange window."
"My order arrived 10 days ago, but the lantern does not turn on. Can I get a refund?",NOT_ELIGIBLE,"Explains that damaged or defective items must be reported within 7 days, so a defect reported after 10 days is outside the damaged-item window."
"I ordered a jacket 35 days ago, never wore it, and still have the packaging. Can I exchange it for another size?",ELIGIBLE,"Explains that exchanges are available within 45 days for unused items in original packaging, even though the 30-day refund window has passed."
